Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,John Gibson (11548398),John Gibson,11548398,G,8400,NYR@ANH 11/01/2018 10:00PM ET,ANH,6.2
G,Keith Kinkaid (11548399),Keith Kinkaid,11548399,G,8300,NJ@DET 11/01/2018 07:30PM ET,NJ,4.82
G,Matt Murray (11548400),Matt Murray,11548400,G,8200,PIT@NYI 11/01/2018 07:00PM ET,PIT,4.7
C,Connor McDavid (11546906),Connor McDavid,11546906,C/UTIL,8200,CHI@EDM 11/01/2018 09:00PM ET,EDM,6.18
G,Ryan Miller (11548422),Ryan Miller,11548422,G,8200,NYR@ANH 11/01/2018 10:00PM ET,ANH,4.2
G,Frederik Andersen (11548401),Frederik Andersen,11548401,G,8100,DAL@TOR 11/01/2018 07:00PM ET,TOR,4.94
LW,Alex Ovechkin (11547264),Alex Ovechkin,11547264,W/UTIL,8100,WAS@MON 11/01/2018 07:30PM ET,WAS,5.7
G,Cory Schneider (11548423),Cory Schneider,11548423,G,8100,NJ@DET 11/01/2018 07:30PM ET,NJ,0
G,Casey DeSmith (11548424),Casey DeSmith,11548424,G,8000,PIT@NYI 11/01/2018 07:00PM ET,PIT,5.12
G,Jonathan Quick (11548402),Jonathan Quick,11548402,G,8000,PHI@LA 11/01/2018 10:30PM ET,LA,0.4
G,Garret Sparks (11548425),Garret Sparks,11548425,G,7900,DAL@TOR 11/01/2018 07:00PM ET,TOR,5.3
C,Nathan MacKinnon (11546908),Nathan MacKinnon,11546908,C/UTIL,7900,COL@CGY 11/01/2018 09:00PM ET,COL,6
G,Martin Jones (11548403),Martin Jones,11548403,G,7900,CLS@SJ 11/01/2018 10:30PM ET,SJ,3.93
C,Evgeni Malkin (11546910),Evgeni Malkin,11546910,C/UTIL,7800,PIT@NYI 11/01/2018 07:00PM ET,PIT,5.95
G,Andrei Vasilevskiy (11548405),Andrei Vasilevskiy,11548405,G,7800,NSH@TB 11/01/2018 07:30PM ET,TB,6.3
G,Pekka Rinne (11548427),Pekka Rinne,11548427,G,7800,NSH@TB 11/01/2018 07:30PM ET,NSH,5.44
G,Marc-Andre Fleury (11548404),Marc-Andre Fleury,11548404,G,7800,VGK@STL 11/01/2018 08:00PM ET,VGK,3.68
G,Jack Campbell (11548426),Jack Campbell,11548426,G,7800,PHI@LA 11/01/2018 10:30PM ET,LA,3.8
G,Craig Anderson (11548407),Craig Anderson,11548407,G,7700,BUF@OTT 11/01/2018 07:30PM ET,OTT,4.76
G,Semyon Varlamov (11548406),Semyon Varlamov,11548406,G,7700,COL@CGY 11/01/2018 09:00PM ET,COL,6.1
RW,Patrick Kane (11547266),Patrick Kane,11547266,W/UTIL,7700,CHI@EDM 11/01/2018 09:00PM ET,CHI,6.42
G,Aaron Dell (11548428),Aaron Dell,11548428,G,7700,CLS@SJ 11/01/2018 10:30PM ET,SJ,4.53
C,Auston Matthews (11546912),Auston Matthews,11546912,C/UTIL,7600,DAL@TOR 11/01/2018 07:00PM ET,TOR,6
G,Carey Price (11548408),Carey Price,11548408,G,7600,WAS@MON 11/01/2018 07:30PM ET,MON,4.38
G,Braden Holtby (11548409),Braden Holtby,11548409,G,7600,WAS@MON 11/01/2018 07:30PM ET,WAS,3.82
G,Juuse Saros (11548410),Juuse Saros,11548410,G,7600,NSH@TB 11/01/2018 07:30PM ET,NSH,5.22
G,Louis Domingue (11548432),Louis Domingue,11548432,G,7600,NSH@TB 11/01/2018 07:30PM ET,TB,4.27
G,Malcolm Subban (11548429),Malcolm Subban,11548429,G,7600,VGK@STL 11/01/2018 08:00PM ET,VGK,1.13
G,Peter Budaj (11548430),Peter Budaj,11548430,G,7600,PHI@LA 11/01/2018 10:30PM ET,LA,1
