"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"29636-54565","G","Andrei","Andrei Vasilevskiy","Vasilevskiy","25.200000762939453","8","9300","NSH@TB","TB","NSH","","","","",""
"29636-64102","C","Connor","Connor McDavid","McDavid","23.418182373046875","11","9300","CHI@EDM","EDM","CHI","","","","",""
"29636-9416","G","Braden","Braden Holtby","Holtby","14.300000190734863","8","9200","WAS@MON","WAS","MON","","","","",""
"29636-8594","C","Sidney","Sidney Crosby","Crosby","19.23999938964844","10","8900","PIT@NYI","PIT","NYI","","","","",""
"29636-41391","C","Nathan","Nathan MacKinnon","MacKinnon","22.366666158040363","12","8900","COL@CGY","COL","CGY","","","","",""
"29636-8718","W","Alex","Alex Ovechkin","Ovechkin","21.519999694824218","10","8800","WAS@MON","WAS","MON","","","","",""
"29636-8595","C","Evgeni","Evgeni Malkin","Malkin","22.76000061035156","10","8700","PIT@NYI","PIT","NYI","","","","",""
"29636-8883","G","Ben","Ben Bishop","Bishop","20.444444444444443","9","8700","DAL@TOR","DAL","TOR","","","","",""
"29636-42869","G","Matt","Matt Murray","Murray","18.8000005086263","6","8700","PIT@NYI","PIT","NYI","","","","",""
"29636-9278","G","Martin","Martin Jones","Jones","15.733334011501736","9","8500","CLS@SJ","SJ","CLS","","","","",""
"29636-8732","G","Semyon","Semyon Varlamov","Varlamov","24.399999618530273","8","8500","COL@CGY","COL","CGY","","","","",""
"29636-12163","G","Sergei","Sergei Bobrovsky","Bobrovsky","10.17142813546317","7","8500","CLS@SJ","CLS","SJ","","","","",""
"29636-8262","W","Patrick","Patrick Kane","Kane","23.833333333333332","12","8400","CHI@EDM","CHI","EDM","","","","",""
"29636-70899","C","Auston","Auston Matthews","Matthews","22.48181845925071","11","8400","DAL@TOR","TOR","DAL","IR","Shoulder","","",""
"29636-66411","G","Juuse","Juuse Saros","Saros","20.899999618530273","8","8400","NSH@TB","NSH","TB","","","","",""
"29636-15268","G","John","John Gibson","Gibson","24.8","10","8300","NYR@ANH","ANH","NYR","","","","",""
"29636-8494","C","John","John Tavares","Tavares","18.3249994913737","12","8200","DAL@TOR","TOR","DAL","","","","",""
"29636-8452","G","Carey","Carey Price","Price","17.5","8","8100","WAS@MON","MON","WAS","","","","",""
"29636-8682","W","Phil","Phil Kessel","Kessel","19.589999389648437","10","8100","PIT@NYI","PIT","NYI","","","","",""
